index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID
0,Class6,1704029641.0,Absolutely_Correct,3,Question_Mh4CZIsrEfxkP1wXtOYV,Method_m8vwGkEZc3TSW2xqYUoR,356,4,05e1c3ce1728da7e37e0
1,Class6,1704029617.0,Error1,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_gj1NLb4Jn7URf9K2kQPd,0,5,05e1c3ce1728da7e37e0
2,Class6,1704029554.0,Error1,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_5Q4KoXthUuYz3bvrTDFm,0,1,05e1c3ce1728da7e37e0
3,Class6,1704029475.0,Error1,0,Question_Mh4CZIsrEfxkP1wXtOYV,Method_m8vwGkEZc3TSW2xqYUoR,0,4,05e1c3ce1728da7e37e0
4,Class6,1704029237.0,Absolutely_Correct,3,Question_lU2wvHSZq7m43xiVroBc,Method_gj1NLb4Jn7URf9K2kQPd,312,3,05e1c3ce1728da7e37e0
5,Class6,1704029121.0,Error1,0,Question_lU2wvHSZq7m43xiVroBc,Method_m8vwGkEZc3TSW2xqYUoR,0,2,05e1c3ce1728da7e37e0
6,Class6,1704029016.0,Error1,0,Question_lU2wvHSZq7m43xiVroBc,Method_gj1NLb4Jn7URf9K2kQPd,0,3,05e1c3ce1728da7e37e0
7,Class6,1704028895.0,Error1,0,Question_lU2wvHSZq7m43xiVroBc,Method_5Q4KoXthUuYz3bvrTDFm,0,5,05e1c3ce1728da7e37e0
8,Class6,1704028432.0,Error5,0,Question_Ej5mBw9rsOUKkFycGvz2,Method_BXr9AIsPQhwNvyGdZL57,476,--,05e1c3ce1728da7e37e0
9,Class6,1704028288.0,Error5,0,Question_Ej5mBw9rsOUKkFycGvz2,Method_5Q4KoXthUuYz3bvrTDFm,316,--,05e1c3ce1728da7e37e0
10,Class6,1704028281.0,Error5,0,Question_Ej5mBw9rsOUKkFycGvz2,Method_Cj9Ya2R7fZd6xs1q5mNQ,316,--,05e1c3ce1728da7e37e0
11,Class6,1704027689.0,Absolutely_Correct,3,Question_pVKXjZn0BkSwYcsa7C31,Method_Cj9Ya2R7fZd6xs1q5mNQ,308,4,05e1c3ce1728da7e37e0
12,Class6,1704027411.0,Absolutely_Correct,3,Question_QRm48lXxzdP7Tn1WgNOf,Method_m8vwGkEZc3TSW2xqYUoR,308,4,05e1c3ce1728da7e37e0
13,Class6,1704027385.0,Error1,0,Question_QRm48lXxzdP7Tn1WgNOf,Method_m8vwGkEZc3TSW2xqYUoR,0,4,05e1c3ce1728da7e37e0
