index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID
0,Class9,1703135271.0,Absolutely_Error,0,Question_pVKXjZn0BkSwYcsa7C31,Method_gj1NLb4Jn7URf9K2kQPd,476,3,4e693829528e3e7de62a
1,Class9,1703135266.0,Absolutely_Error,0,Question_pVKXjZn0BkSwYcsa7C31,Method_5Q4KoXthUuYz3bvrTDFm,320,3,4e693829528e3e7de62a
2,Class9,1703134312.0,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_5Q4KoXthUuYz3bvrTDFm,188,3,4aa8ff74dc576b7adbcd
3,Class9,1703134293.0,Error1,0,Question_hZ5wXofebmTlzKB1jNcP,Method_m8vwGkEZc3TSW2xqYUoR,0,1,4aa8ff74dc576b7adbcd
4,Class9,1703134201.0,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_m8vwGkEZc3TSW2xqYUoR,308,4,4aa8ff74dc576b7adbcd
5,Class9,1703134077.0,Absolutely_Correct,3,Question_Ej5mBw9rsOUKkFycGvz2,Method_5Q4KoXthUuYz3bvrTDFm,312,3,792e3326f0d9f68389d9
6,Class9,1703134071.0,Partially_Correct,1,Question_Ej5mBw9rsOUKkFycGvz2,Method_5Q4KoXthUuYz3bvrTDFm,460,4,792e3326f0d9f68389d9
7,Class9,1703134052.0,Absolutely_Correct,3,Question_Ej5mBw9rsOUKkFycGvz2,Method_BXr9AIsPQhwNvyGdZL57,324,3,792e3326f0d9f68389d9
8,Class9,1703133036.0,Absolutely_Correct,3,Question_Az73sM0rHfWVKuc4X2kL,Method_m8vwGkEZc3TSW2xqYUoR,340,4,9b913075e93b2b788102
9,Class9,1703132522.0,Absolutely_Correct,3,Question_Mh4CZIsrEfxkP1wXtOYV,Method_gj1NLb4Jn7URf9K2kQPd,308,3,792e3326f0d9f68389d9
10,Class9,1703132336.0,Absolutely_Correct,3,Question_TmKaGvfNoXYq4FZ2JrBu,Method_Cj9Ya2R7fZd6xs1q5mNQ,316,3,1c2aef3af32f6323a31d
11,Class9,1703131723.0,Absolutely_Correct,3,Question_Az73sM0rHfWVKuc4X2kL,Method_m8vwGkEZc3TSW2xqYUoR,200,3,4aa8ff74dc576b7adbcd
12,Class9,1703131690.0,Absolutely_Correct,3,Question_Az73sM0rHfWVKuc4X2kL,Method_BXr9AIsPQhwNvyGdZL57,308,3,4aa8ff74dc576b7adbcd
13,Class9,1703131680.0,Partially_Correct,1,Question_Az73sM0rHfWVKuc4X2kL,Method_Cj9Ya2R7fZd6xs1q5mNQ,328,3,4aa8ff74dc576b7adbcd
14,Class9,1703131229.0,Absolutely_Correct,3,Question_6RQj2gF3OeK5AmDvThUV,Method_Cj9Ya2R7fZd6xs1q5mNQ,444,3,1c2aef3af32f6323a31d
15,Class9,1703131218.0,Absolutely_Correct,3,Question_6RQj2gF3OeK5AmDvThUV,Method_5Q4KoXthUuYz3bvrTDFm,324,3,1c2aef3af32f6323a31d
16,Class9,1703131130.0,Absolutely_Correct,3,Question_Az73sM0rHfWVKuc4X2kL,Method_BXr9AIsPQhwNvyGdZL57,384,4,4aa8ff74dc576b7adbcd
17,Class9,1703130966.0,Absolutely_Correct,3,Question_Ou3f2Wt9BqExm5DpN7Zk,Method_5Q4KoXthUuYz3bvrTDFm,464,4,9b913075e93b2b788102
18,Class9,1703130918.0,Absolutely_Error,0,Question_Ou3f2Wt9BqExm5DpN7Zk,Method_m8vwGkEZc3TSW2xqYUoR,312,4,9b913075e93b2b788102
19,Class9,1703130107.0,Absolutely_Error,0,Question_Ou3f2Wt9BqExm5DpN7Zk,Method_5Q4KoXthUuYz3bvrTDFm,340,4,9b913075e93b2b788102
20,Class9,1703130054.0,Absolutely_Error,0,Question_Ou3f2Wt9BqExm5DpN7Zk,Method_5Q4KoXthUuYz3bvrTDFm,324,3,9b913075e93b2b788102
21,Class9,1703128838.0,Absolutely_Correct,3,Question_Ou3f2Wt9BqExm5DpN7Zk,Method_5Q4KoXthUuYz3bvrTDFm,356,3,9b913075e93b2b788102
22,Class9,1703128721.0,Absolutely_Error,0,Question_Ou3f2Wt9BqExm5DpN7Zk,Method_Cj9Ya2R7fZd6xs1q5mNQ,324,5,9b913075e93b2b788102
23,Class9,1703128598.0,Absolutely_Error,0,Question_Ou3f2Wt9BqExm5DpN7Zk,Method_BXr9AIsPQhwNvyGdZL57,320,4,9b913075e93b2b788102
24,Class9,1703128310.0,Absolutely_Correct,3,Question_Mh4CZIsrEfxkP1wXtOYV,Method_gj1NLb4Jn7URf9K2kQPd,328,3,4aa8ff74dc576b7adbcd
25,Class9,1703128296.0,Absolutely_Correct,3,Question_62XbhBvJ8NUSnApgDL94,Method_5Q4KoXthUuYz3bvrTDFm,316,4,792e3326f0d9f68389d9
26,Class9,1703127495.0,Absolutely_Correct,3,Question_ZTbD7mxr2OUp8Fz6iNjy,Method_BXr9AIsPQhwNvyGdZL57,192,3,4aa8ff74dc576b7adbcd
