index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID
0,Class12,1704902126.0,Absolutely_Correct,3,Question_62XbhBvJ8NUSnApgDL94,Method_m8vwGkEZc3TSW2xqYUoR,340,2,43d98a750c726bb39d11
1,Class12,1704899164.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_m8vwGkEZc3TSW2xqYUoR,324,2,5d16326e4577a67d94c6
2,Class12,1704898728.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,356,3,43d98a750c726bb39d11
3,Class12,1704898285.0,Partially_Correct,2,Question_FNg8X9v5zcbB1tQrxHR3,Method_BXr9AIsPQhwNvyGdZL57,528,5,43d98a750c726bb39d11
4,Class12,1704898178.0,Partially_Correct,2,Question_FNg8X9v5zcbB1tQrxHR3,Method_5Q4KoXthUuYz3bvrTDFm,344,2,43d98a750c726bb39d11
5,Class12,1704898144.0,Absolutely_Error,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,448,3,43d98a750c726bb39d11
6,Class12,1704898090.0,Absolutely_Error,0,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_5Q4KoXthUuYz3bvrTDFm,384,5,5d16326e4577a67d94c6
7,Class12,1704898056.0,Error1,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_5Q4KoXthUuYz3bvrTDFm,0,2,43d98a750c726bb39d11
8,Class12,1704897977.0,Partially_Correct,2,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,424,3,43d98a750c726bb39d11
9,Class12,1704897910.0,Absolutely_Error,0,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_Cj9Ya2R7fZd6xs1q5mNQ,340,4,5d16326e4577a67d94c6
10,Class12,1704897870.0,Absolutely_Error,0,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_Cj9Ya2R7fZd6xs1q5mNQ,352,3,5d16326e4577a67d94c6
11,Class12,1704895686.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_m8vwGkEZc3TSW2xqYUoR,356,4,e00bc7d9f2ce32c4f745
12,Class12,1704895626.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_m8vwGkEZc3TSW2xqYUoR,344,4,21fc5674d24be8e9da89
13,Class12,1704893221.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,352,3,21fc5674d24be8e9da89
14,Class12,1704892692.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_gj1NLb4Jn7URf9K2kQPd,324,3,5d16326e4577a67d94c6
15,Class12,1704892637.0,Error2,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,472,3,5d16326e4577a67d94c6
16,Class12,1704891976.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_5Q4KoXthUuYz3bvrTDFm,360,3,a7fc1ba478db11fde063
17,Class12,1704891891.0,Error3,0,Question_FNg8X9v5zcbB1tQrxHR3,Method_Cj9Ya2R7fZd6xs1q5mNQ,356,3,5d16326e4577a67d94c6
18,Class12,1704891601.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_gj1NLb4Jn7URf9K2kQPd,384,3,a7fc1ba478db11fde063
19,Class12,1704891495.0,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,348,4,63ff3dff3eb31d62ab3e
20,Class12,1704891110.0,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_5Q4KoXthUuYz3bvrTDFm,332,2,63ff3dff3eb31d62ab3e
21,Class12,1704891018.0,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_5Q4KoXthUuYz3bvrTDFm,328,3,5d16326e4577a67d94c6
22,Class12,1704890905.0,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_Cj9Ya2R7fZd6xs1q5mNQ,452,4,63ff3dff3eb31d62ab3e
23,Class12,1704890838.0,Error1,0,Question_hZ5wXofebmTlzKB1jNcP,Method_gj1NLb4Jn7URf9K2kQPd,0,4,5d16326e4577a67d94c6
24,Class12,1704890563.0,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_gj1NLb4Jn7URf9K2kQPd,332,3,63ff3dff3eb31d62ab3e
